price,city,district,type,listing_type
225900, Bratislava-Staré Mesto,Bratislava,2 izbový byt,sale
215000, Bratislava-Staré Mesto,Bratislava,2 izbový byt,sale
145000, Zvolen,Zvolen,3 izbový byt,sale
1050, Košice-Lorinčík,Košice,2 izbový byt,rent
245000, Miloslavov,Senec,5 a viac izbový byt,sale
185000, Košice-Staré Mesto,Košice,2 izbový byt,sale
326990, Bratislava-Ružinov,Bratislava,4 izbový byt,sale
695000, Bratislava-Nové Mesto,Bratislava,4 izbový byt,sale
495000, Bratislava-Nové Mesto,Bratislava,3 izbový byt,sale
765000, Chorvátsky Grob,Senec,Rodinný dom,sale
284950,Senec,Senec,Pozemok pre rodinné domy,sale
369990, Bratislava-Nové Mesto,Bratislava,5 a viac izbový byt,sale
230000, Bratislava-Dúbravka,Bratislava,2 izbový byt,sale
309000,Lehnice,Dunajská,Rodinný dom,sale
209000, Bratislava-Podunajské Biskupice,Bratislava,Obchodné priestory,sale
630, Bratislava-Petržalka,Bratislava,2 izbový byt,rent
3630, Bratislava-Ružinov,Bratislava,Skladový objekt,rent
118000,Trenčianske Teplice,Trenčín,2 izbový byt,sale
1250, Bratislava-Ružinov,Bratislava,2 izbový byt,rent
430000, Bratislava-Nové Mesto,Bratislava,3 izbový byt,sale
190000, Bratislava-Nové Mesto,Bratislava,1 izbový byt,sale
171000, Pezinok,Pezinok,3 izbový byt,sale
455000, Donovaly,Banská,"Chalupa, rekreačný domček",sale
455000, Donovaly,Banská,"Chalupa, rekreačný domček",sale
350000, Košice-Barca,Košice,Pozemok pre rodinné domy,sale
399990, Bratislava-Staré Mesto,Bratislava,4 izbový byt,sale
1900, Bratislava-Staré Mesto,Bratislava,4 izbový byt,rent
390000, Bratislava-Karlova Ves,Bratislava,3 izbový byt,sale
329900, Bratislava-Nové Mesto,Bratislava,2 izbový byt,sale
600, Bratislava-Nové Mesto,Bratislava,1 izbový byt,rent
190000, Hubice,Dunajská,Rodinný dom,sale
619000, Žilina,Žilina,Rodinný dom,sale
229000, Bratislava-Petržalka,Bratislava,3 izbový byt,sale
218700, Stupava,Malacky,3 izbový byt,sale
720, Bratislava-Ružinov,Bratislava,2 izbový byt,rent
185000, Bratislava-Ružinov,Bratislava,2 izbový byt,sale
170000, Veľký Šariš,Prešov,3 izbový byt,sale
1550000, Bratislava-Staré Mesto,Bratislava,Rodinný dom,sale
535000, Častá,Pezinok,Rodinný dom,sale
389900, Bratislava-Staré Mesto,Bratislava,3 izbový byt,sale
140000, Pezinok,Pezinok,"Chalupa, rekreačný domček",sale
333350, Bratislava-Ružinov,Bratislava,2 izbový byt,sale
